"author","coauthors"
"Marco Sperduti","Di Rienzo Franck, Phd."
"Marco Sperduti","Prany Wantzen"
"Marco Sperduti","Caroline Malherbe"
"Marco Sperduti","Aymeric Guillot"
"Marco Sperduti","Eric Bertasi"
"Marco Sperduti","Marion Leboyer"
"Marco Sperduti","François Vialatte"
"Marco Sperduti","Laurie Compère"
"Marco Sperduti","Giuseppina Porciello"
"Marco Sperduti","Bufalari Ilaria"
"Brenton M. Wiernik","Dominique Makowski"
"Brenton M. Wiernik","Indrajeet Patil"
"Brenton M. Wiernik","Mattan S. Ben-Shachar"
"Brenton M. Wiernik","Daniel Lüdecke"
"Brenton M. Wiernik","Philip D. Waggoner"
"Brenton M. Wiernik","Deniz S. Ones"
"Brenton M. Wiernik","Stephan Dilchert"
"Brenton M. Wiernik","Jack Kostal"
"Brenton M. Wiernik","Rémi Thériault"
"Brenton M. Wiernik","Jeffrey A. Dahlke"
"Brenton M. Wiernik","Bart Wille"
"Brenton M. Wiernik","Heiko Rüger"
"Brenton M. Wiernik","Michael P. Wilmot"
"Brenton M. Wiernik","Marina Bornovalova"
"Brenton M. Wiernik","Arni Magnusson"
"Brenton M. Wiernik","Anders Nielsen"
"Brenton M. Wiernik","Mukhunth Raghavan, Phd"
"Brenton M. Wiernik","Juergen Deller"
"Brenton M. Wiernik","Jessica Mesmer-Magnus"
"Brenton M. Wiernik","Claus Wilke"
"Rémi Thériault","Indrajeet Patil"
"Rémi Thériault","Mattan S. Ben-Shachar"
"Rémi Thériault","Daniel Lüdecke"
"Rémi Thériault","Dominique Makowski"
"Rémi Thériault","Brenton M. Wiernik"
"Rémi Thériault","Philip D. Waggoner"
"Rémi Thériault","Jay A. Olson"
"Rémi Thériault","Sonia Krol"
"Rémi Thériault","Stéphane Dandeneau"
"Rémi Thériault","Derek Mikola"
"Rémi Thériault","Nikolai M. Cook"
"Rémi Thériault","Abel Brodeur"
"Rémi Thériault","Jennifer A. Bartz"
"Rémi Thériault","Dana Basnight-Brown"
"Rémi Thériault","Flávio Azevedo"
"Rémi Thériault","Moin Syed"
"Rémi Thériault","Hu Chuan-Peng (胡传鹏)"
"Rémi Thériault","Asifa Majid"
"Rémi Thériault","Arathy Puthillam"
"Rémi Thériault","Sakshi Ghai"
"Serge Nicolas","Pascale Piolino"
"Serge Nicolas","Gaën Plancher"
"Serge Nicolas","Alessandro Guida"
"Serge Nicolas","Yannick Gounden"
"Serge Nicolas","Ludovic Ferrand"
"Serge Nicolas","Dominique Makowski"
"Serge Nicolas","Marco Sperduti"
"Serge Nicolas","Fernand Gobet"
"Serge Nicolas","Pierre Perruchet"
"Serge Nicolas","Kouloud Abichou"
"Serge Nicolas","Jeremy T. Burman"
"Serge Nicolas","Dalibor Vobořil"
"Serge Nicolas","Simon Lhuillier"
"Serge Nicolas","Todd Lubart"
"Serge Nicolas","Guy Tiberghien"
"Serge Nicolas","Thérèse Collins"
"Serge Nicolas","Henry L. Roediger"
"Serge Nicolas","Andrea Bosco"
"Serge Nicolas","Chrystel Besche-Richard, Full Professor"
"Serge Nicolas","Marjorie Lorch"
"François Lespinasse","Dominique Makowski"
"François Lespinasse","Antoine Bellemare-Pepin"
"François Lespinasse","Yann Harel"
"François Lespinasse","Philipp Thölke"
"François Lespinasse","Karim Jerbi, Phd"
